date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,-380.195000000
2017-08-09,-703.800000000
2017-08-10,-527.850000000
2017-08-11,-382.950000000
2017-08-14,403.650000000
2017-08-16,588.722000000
2017-08-17,237.150000000
2017-08-18,-126.900000000
2017-08-21,-415.650000000
2017-08-22,-1189.050000000
2017-08-23,1160.550000000
2017-08-24,-85.200000000
2017-08-28,-1043.400000000
2017-08-29,-130.865500000
2017-08-30,156.600000000
2017-08-31,216.000000000
2017-09-01,707.400000000
2017-09-04,-388.800000000
2017-09-05,356.400000000
2017-09-06,129.600000000
2017-09-07,27.000000000
2017-09-08,-102.600000000
2017-09-11,91.800000000
2017-09-12,410.400000000
2017-09-13,-399.600000000
2017-09-14,86.400000000
2017-09-15,-216.000000000
2017-09-18,248.400000000
2017-09-19,-340.200000000
2017-09-20,-102.600000000
2017-09-21,-507.600000000
2017-09-22,-1247.400000000
2017-09-25,-745.200000000
2017-09-26,280.800000000
2017-09-27,-999.000000000
2017-09-28,-62.990800000
2017-09-29,0E-9
2017-10-03,0E-9
2017-10-04,0E-9
2017-10-05,0E-9
2017-10-06,0E-9
2017-10-09,0E-9
2017-10-10,0E-9
2017-10-11,0E-9
2017-10-12,0E-9
2017-10-13,0E-9
2017-10-16,0E-9
2017-10-17,0E-9
2017-10-18,0E-9
2017-10-23,0E-9
2017-10-24,0E-9
2017-10-25,0E-9
2017-10-26,0E-9
2017-10-27,0E-9
2017-10-30,32.330000000
2017-10-31,-146.100000000
2017-11-01,26.400000000
2017-11-02,175.576700000
2017-11-03,-93.830000000
2017-11-06,-294.500000000
2017-11-07,-1515.922000000
2017-11-08,-934.070000000
2017-11-09,1517.410000000
2017-11-10,-439.280000000
2017-11-13,-800.670000000
2017-11-14,356.480000000
2017-11-15,-701.560000000
2017-11-16,761.819610000
2017-11-17,841.200000000
2017-11-20,299.100000000
2017-11-21,497.700000000
2017-11-22,531.900000000
2017-11-23,-368.100000000
2017-11-24,528.000000000
2017-11-27,389.400000000
2017-11-28,23.700000000
2017-11-29,-39.300000000
2017-11-30,-485.400000000
2017-12-01,-767.100000000
2017-12-04,577.200000000
2017-12-05,231.300000000
2017-12-06,-678.600000000
2017-12-07,672.000000000
2017-12-08,591.900000000
2017-12-11,458.400000000
2017-12-12,-356.100000000
2017-12-13,-301.200000000
2017-12-14,-86.400000000
2017-12-15,443.700000000
2017-12-18,450.900000000
2017-12-19,1153.200000000
2017-12-20,17.100000000
2017-12-21,98.700000000
2017-12-22,24.300000000
2017-12-26,73.200000000
2017-12-27,-167.800000000
2017-12-28,63.600000000
2017-12-29,154.800000000
2018-01-01,-136.800000000
2018-01-02,-175.200000000
2018-01-03,267.600000000
2018-01-04,104.954400000
2018-01-05,0E-9
2018-01-08,0E-9
2018-01-09,0E-9
2018-01-10,0E-9
2018-01-11,0E-9
2018-01-12,0E-9
2018-01-15,0E-9
2018-01-16,0E-9
2018-01-17,0E-9
2018-01-18,0E-9
2018-01-19,0E-9
2018-01-22,0E-9
2018-01-23,0E-9
2018-01-24,0E-9
2018-01-25,1364.335000000
2018-01-29,-170.250000000
2018-01-30,-787.500000000
2018-01-31,-1003.500000000
2018-02-01,1536.000000000
2018-02-02,-164.250000000
2018-02-05,-39.000000000
2018-02-06,-879.750000000
2018-02-07,1271.250000000
2018-02-08,-27.000000000
2018-02-09,-151.500000000
2018-02-12,2442.232550000
2018-02-14,-664.350000000
2018-02-15,-368.250000000
2018-02-16,-1666.050000000
2018-02-19,-1319.700000000
2018-02-20,-1061.100000000
2018-02-21,1077.300000000
2018-02-22,-382.484500000
2018-02-23,679.500000000
2018-02-26,164.250000000
2018-02-27,-333.750000000
2018-02-28,52.500000000
2018-03-01,269.250000000
2018-03-05,-1095.000000000
2018-03-06,-452.250000000
2018-03-07,-141.750000000
2018-03-08,-188.250000000
2018-03-09,-450.000000000
2018-03-12,481.500000000
2018-03-13,-0.750000000
2018-03-14,-532.500000000
2018-03-15,-390.750000000
2018-03-16,-269.250000000
2018-03-19,-630.750000000
2018-03-20,-95.250000000
2018-03-21,570.000000000
2018-03-22,-200.250000000
2018-03-23,462.000000000
2018-03-26,369.000000000
2018-03-27,29.250000000
2018-03-28,-108.205000000
2018-04-02,0E-9
2018-04-03,0E-9
2018-04-04,0E-9
2018-04-05,0E-9
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,0E-9
2018-04-27,0E-9
2018-04-30,-710.703000000
2018-05-02,225.750000000
2018-05-03,337.750000000
2018-05-04,-458.500000000
2018-05-07,553.000000000
2018-05-08,215.250000000
2018-05-09,218.750000000
2018-05-10,-29.750000000
2018-05-11,197.750000000
2018-05-14,-49.000000000
2018-05-15,-77.000000000
2018-05-16,10.500000000
2018-05-17,-369.250000000
2018-05-18,-229.250000000
2018-05-21,-211.750000000
2018-05-22,-124.250000000
2018-05-23,-106.750000000
2018-05-24,497.000000000
2018-05-25,141.750000000
2018-05-28,267.750000000
2018-05-29,56.000000000
2018-05-30,-213.500000000
2018-05-31,148.750000000
2018-06-01,-323.750000000
2018-06-04,14.000000000
2018-06-05,-215.250000000
2018-06-06,17.500000000
2018-06-07,385.000000000
2018-06-08,-175.000000000
2018-06-11,89.250000000
2018-06-12,-98.000000000
2018-06-13,122.500000000
2018-06-14,-302.750000000
2018-06-15,-113.750000000
2018-06-18,-217.000000000
2018-06-19,-187.250000000
2018-06-20,66.500000000
2018-06-21,-211.750000000
2018-06-22,441.000000000
2018-06-25,-365.750000000
2018-06-26,-35.000000000
2018-06-27,-18.660000000
2018-06-28,0E-9
2018-06-29,0E-9
2018-07-02,0E-9
2018-07-03,0E-9
2018-07-04,0E-9
2018-07-05,0E-9
2018-07-06,0E-9
2018-07-09,0E-9
2018-07-10,0E-9
2018-07-11,0E-9
2018-07-12,0E-9
2018-07-13,0E-9
2018-07-16,0E-9
2018-07-17,0E-9
2018-07-18,0E-9
2018-07-19,0E-9
2018-07-20,0E-9
2018-07-23,0E-9
2018-07-24,617.579200000
2018-07-25,264.680000000
2018-07-26,512.750000000
2018-07-27,41.750000000
2018-07-30,-263.050000000
2018-07-31,-629.198750000
2018-08-01,-105.000000000
2018-08-02,-1452.550000000
2018-08-03,1001.400000000
2018-08-06,142.200000000
2018-08-07,-997.550000000
2018-08-08,88.050000000
2018-08-09,1512.550000000
2018-08-10,-418.450000000
2018-08-13,-423.050000000
2018-08-14,958.300000000
2018-08-16,-719.950000000
