date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-14,0
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-04,-341.91208000000000000000001
2017-12-05,1484.44000000000000000000001
2017-12-06,-918.6200000000000000000000
2017-12-07,2245.3300000000000000000000
2017-12-08,896.8700000000000000000000
2017-12-11,556.9500000000000000000000
2017-12-12,-1483.4100000000000000000000
2017-12-13,-1431.5300000000000000000000
2017-12-14,-452.5800000000000000000000
2017-12-15,3514.5100000000000000000000
2017-12-18,2054.7600000000000000000000
2017-12-19,2015.4300000000000000000000
2017-12-20,1181.4200000000000000000000
2017-12-21,3060.7500000000000000000000
2017-12-22,574.4700000000000000000000
2017-12-26,503.5200000000000000000000
2017-12-27,-354.1700000000000000000000
2017-12-28,266.4300000000000000000000
2017-12-29,782.7800000000000000000000
2018-01-01,-581.9200000000000000000000
2018-01-02,-2036.4328000000000000000000
2018-01-03,5365.1400000000000000000000
2018-01-04,6772.9900000000000000000000
2018-01-05,678.1300000000000000000000
2018-01-08,2970.8900000000000000000000
2018-01-09,-1015.1600000000000000000000
2018-01-10,1583.1400000000000000000000
2018-01-11,827.4400000000000000000000
2018-01-12,98.4600000000000000000000
2018-01-15,1144.6600000000000000000000
2018-01-16,-413.4100000000000000000000
2018-01-17,2606.8700000000000000000000
2018-01-18,-1935.9600000000000000000000
2018-01-19,1845.9900000000000000000000
2018-01-22,296.9900000000000000000000
2018-01-23,2815.4600000000000000000000
2018-01-24,-2704.3700000000000000000000
2018-01-25,2253.2000000000000000000000
2018-01-29,-3361.2600000000000000000000
2018-01-30,-2048.1600000000000000000000
2018-01-31,-1459.2500000000000000000000
2018-02-01,-1232.8800000000000000000000
2018-02-02,-5950.2000000000000000000000
2018-02-05,580.2300000000000000000000
2018-02-06,-2445.0900000000000000000000
2018-02-07,1738.4300000000000000000000
2018-02-08,3917.8900000000000000000000
2018-02-09,1001.3000000000000000000000
2018-02-12,2423.1700000000000000000000
2018-02-14,-608.9400000000000000000000
2018-02-15,-1571.0500000000000000000000
2018-02-16,-3298.5800000000000000000000
2018-02-19,-1974.1300000000000000000000
2018-02-20,27.8700000000000000000000
2018-02-21,-142.1300000000000000000000
2018-02-22,1350.4200000000000000000000
2018-02-23,2024.4600000000000000000000
2018-02-26,1640.1500000000000000000000
2018-02-27,-1245.0900000000000000000000
2018-02-28,-1870.6700000000000000000000
2018-03-01,-1133.9300000000000000000000
2018-03-05,-1575.7600000000000000000000
2018-03-06,-3812.7800000000000000000000
2018-03-07,-4090.9100000000000000000000
2018-03-08,722.5455600000000000000000
2018-03-09,0E-22
2018-03-12,0E-22
2018-03-13,0E-22
2018-03-14,0E-22
2018-03-15,0E-22
2018-03-16,0E-22
2018-03-19,0E-22
2018-03-20,0E-22
2018-03-21,0E-22
2018-03-22,0E-22
2018-03-23,0E-22
2018-03-26,0E-22
2018-03-27,0E-22
2018-03-28,0E-22
2018-04-02,0E-22
2018-04-03,1191.3540000000000000000000
2018-04-04,-3868.5300000000000000000000
2018-04-05,985.4294900000000000000000
2018-04-06,0E-22
2018-04-09,0E-22
2018-04-10,0E-22
2018-04-11,0E-22
2018-04-12,0E-22
2018-04-13,0E-22
2018-04-16,0E-22
2018-04-17,0E-22
2018-04-18,0E-22
2018-04-19,0E-22
2018-04-20,0E-22
2018-04-23,0E-22
2018-04-24,0E-22
2018-04-25,0E-22
2018-04-26,0E-22
2018-04-27,0E-22
2018-04-30,0E-22
2018-05-02,0E-22
2018-05-03,-2098.5514300000000000000000
2018-05-04,-926.4700000000000000000000
2018-05-07,299.7700000000000000000000
2018-05-08,665.8400000000000000000000
2018-05-09,425.2500000000000000000000
2018-05-10,497.3900000000000000000000
2018-05-11,16.9900000000000000000000
2018-05-14,-1524.2100000000000000000000
2018-05-15,-1702.5600000000000000000000
2018-05-16,151.1980000000000000000000
2018-05-17,-619.4900000000000000000000
2018-05-18,-1867.1100000000000000000000
2018-05-21,-1380.4100000000000000000000
2018-05-22,194.6000000000000000000000
2018-05-23,1519.2300000000000000000000
2018-05-24,2325.2100000000000000000000
2018-05-25,2125.7800000000000000000000
2018-05-28,-1060.1900000000000000000000
2018-05-29,594.5400000000000000000000
2018-05-30,292.2600000000000000000000
2018-05-31,1175.8300000000000000000000
2018-06-01,-1589.1200000000000000000000
2018-06-04,-1794.8149000000000000000000
2018-06-05,-2986.6600000000000000000000
2018-06-06,2237.2278000000000000000000
2018-06-07,2557.5900000000000000000000
2018-06-08,-27.6900000000000000000000
2018-06-11,431.0800000000000000000000
2018-06-12,1465.8000000000000000000000
2018-06-13,-591.2000000000000000000000
2018-06-14,-205.2100000000000000000000
2018-06-15,-784.7000000000000000000000
2018-06-18,-1289.4800000000000000000000
2018-06-19,-1276.4800000000000000000000
2018-06-20,1024.3600000000000000000000
2018-06-21,-473.0000000000000000000000
2018-06-22,68.3600000000000000000000
2018-06-25,-905.5800000000000000000000
2018-06-26,-550.9100000000000000000000
2018-06-27,-1236.0800000000000000000000
2018-06-28,-1328.9200000000000000000000
2018-06-29,3074.6100000000000000000000
2018-07-02,-1099.4600000000000000000000
2018-07-03,787.1930000000000000000000
2018-07-04,1172.7600000000000000000000
2018-07-05,-1059.1100000000000000000000
2018-07-06,443.9600000000000000000000
2018-07-09,1591.9200000000000000000000
2018-07-10,1807.2700000000000000000000
2018-07-11,834.1100000000000000000000
